房地产企业预缴营业税营改增后发票怎么开	房地产企业营改增前在地税预缴税款但未开具发票怎么办	1	房地产|营业税|发票	房地产|地税|税款
黑茶传销骗的我好惨	湖南黑茶价格在网上哪里买会比较实惠	0	黑茶	湖南黑茶
我是学护理的,想报考营养师和养老护理员,大家决得哪个好点?	你好,我是学护理专业的想报营养师怎么考	1	营养师|养老护理员	你好|护理|营养师
打开网页总显示internet##ex##pl##ore##r无法显示该网页	为什么我打开个别网页时,总是打不开,提示“internet...	1	网页	网页
九龙坡区白市驿至二廊公交	快速公交2号线支线	0	九龙坡区白市|二廊	公交
南京江宁社会保险	现在南京社保和江宁社保有什么不同	1	南京江宁	南京社保|江宁社保
《功夫》里卖棒棒糖的女主角是谁	功夫之王里的白发魔女是谁扮演的	0	功夫|棒棒糖|女主角	功夫之王|白发魔女
和男朋友做爱怎么做啊谁有经历该穿什么脱衣服的话是他给我脱吗乳罩还要脱吗他亲我的胸怎么办	为什么男朋友和我做爱一定要脱掉所有衣服呢	1	男朋友|经历|乳罩	男朋友|衣服
哪对夫妻俩都是副国级领导	求一兼职代理协议书	0	夫妻俩|国级	代理
现钞转成现汇的手续费怎么算	关于现汇买入价,现钞买入价,卖出价,基准价的困惑	0	现汇|手续费	现汇买入价|买入价|卖出价
放羊的星星里夏之星的扮演者	《放羊的星星》里面:夏之星扮演者:刘荷娜是哪里的人	0	放羊的星星|夏之星	夏之星扮演者|刘荷娜
全世界唯一规定买车必须自备停车位的国家是哪个?	全世界最小的国家是什么?	0	全世界|买车|停车位	全世界|国家
杜鹃花剪枝施肥的问题	什么时候可以给杜鹃花剪枝何时施肥	1	杜鹃花剪枝	杜鹃花剪枝
vivo是什么类型手机啊	vivo是怎么样的手机啊	1	是什么类	么样
exo的队长是谁	神话的队长是谁?	0	o的	神话|队长
麦当劳玉米杯的详细做法(高分)	河北玉米的收购价	0	麦当劳玉米|高分	河北玉米
商洛市哪是哪个省的	徽州是哪省的?	0	商洛市	徽州
多情自古空余恨,此恨绵绵无绝期.是怎么解释	“多情自古空余恨,此恨绵绵无绝期”这句话是什么...	1	多情|空余恨|此恨绵绵	多情|空余恨|此恨绵绵
中国人民银行征信中心:目前系统未收录你的个人信息,无法进行注册是什么意思	在中国人民银行征信中心注册,输入名字,身份证好之后,跳...	1	中国人民银行|中心|个人信息	中国人民银行|名字|身份证
世代居住在台湾省的少数民族是?	建立北魏的少数民族是	0	世代|台湾省|少数民族	北魏|少数民族
新君威1.6##t玛吉斯轮胎多少钱	2015君威1.6##t低配用的轮胎多少钱	1	新君威|t玛吉斯	01|t低
《心墙》的原唱	谁是《心墙》的原唱	1	心墙	心墙
诛仙3游戏bug	诛仙3##bug怎么办	1	游戏	
2016年清明节当日有什么禁忌冲什么生肖	今天十二生肖冲忌	1	16年清明	十二生肖
唱歌的时候为什么我总是唱不了低音?我该怎么办?	唱歌气息教程	0	唱歌|低音	唱歌气息
金什么四什么成语	成语寓言故事的主要内容	0		成语
为什么有的女人说话,不好好说,却总是大喊大叫的,像疯狗一样见谁都咬?	疯狗最新电影下载怎么又下不了	0	女人|疯狗	疯狗|电影
诛仙手游的嗜血珠碎片任务怎么做	手游上古2充值问题	0	手游|嗜血|碎片	手游上古|充值
求指针式普通石英钟的印刷板电路图.	想改下家里的石英钟弄成太阳能板子的,求动手能力强的帮忙...	1	指针式|石英钟|电路图	石英钟|太阳能板子
gtx##96##0m显卡怎么样?	显卡驱动不兼容	0		驱动
适合中学生的舞蹈	阳光总在风雨后手语舞蹈分解动作视频	0	中学生	风雨|手语舞蹈
关于托福和gre成绩邮寄到申请的学校的时间的问题	关于寄送gre和to##ef##l成绩单的问题	1	托福|re	o##
3g运行内存和4g的运行内存的差别大吗?	手机3g##b的运行内存与4gb的运行内存真的有很大差别么	1	行内|运行	手机|的运|gb
通州有到燕郊的拼车吗?	拼车回家安全吗	0	通州|燕郊|拼车	回家
国庆节银行放假吗?我想办卡	漫游电话卡,办什么卡好?	0	国庆节银行	漫游电话卡
近视的女生大学期间当兵好吗?	近视的女大学生入伍义务兵的概率有多大	1	女生大学|当兵	大学生|义务兵|概率
请问带有药健字、药械准字、消证字、消字号、的药品能在药店销售吗?	我代理了消字号的药品药店不让卖谁能...	1	药械准字|消证字	代理|字号|药店
云数贸上市最新消息	云数贸2017年能上市吗,	1	云数|上市	云数|7年
农村三部曲的著名作家是?	农村说的鱼香学名叫什么?	0	农村|著名作家	农村|香学
怎么升级安卓模拟器的系统?	安卓模拟器电脑版如何更新游戏·	1	升级安卓模拟器	安卓模拟器电脑
英魂之刃开外挂哪个好	英魂之刃怎样开外挂	1	英魂之刃|外挂	英魂之刃
我的世界单机防爆指令是什么	防腐防爆摄像头	0	世界单机|指令	防腐
货车年检,后面轮胎花纹不一样可以吗	哪种轮胎噪音小	0	年检|轮胎花纹	轮胎噪音
匹马单枪立于营外,拒汉水之寨的是谁?	本山快乐营二丫是谁	0	营外|汉水	本山快乐营二丫
青岛是春秋战国时候的哪个国家?	左轮手枪是春秋战国时候的哪个国家?	0	青岛|春秋战国|国家	左轮手枪|春秋战国|国家
日军给慰安妇身体检查过程,日军如何残暴虐待慰安妇【组图】	慰安妇怎样接待日军照片	1	日军|慰安妇身体检查|日军|慰安妇	慰安妇|日军
用颗粒木板做衣柜有什么缺点?	衣柜和地板颜色搭配	0	颗粒木板|衣柜	衣柜|地板颜色
为高龄老人做婚庆都需要什么步骤	北京婚庆用品团购	0	高龄|婚庆	北京婚庆用品
我家有一个大卧室的小窗户做卷帘好还是对开的或者是一片的好啊	我想问一下,我家卧室后面的窗户比较小,不知道用哪种窗帘...	1	卧室|窗户|卷帘	卧室|窗帘
江西有哪些品牌瓷砖	十大品牌瓷砖那些是江西生产	1	江西|品牌	十大|瓷砖|江西
我是司机以前加入了滴滴打车现在想退出不知道该怎么退出?	为司机买了意外险出现了事故怎么赔偿	0	司机|滴滴	司机|意外险|事故
小泰迪狗的驱虫药怎么吃	泰迪快三个月怎么吃驱虫药	1	小泰迪|驱虫药	泰迪
贾珍的父亲是谁?	贾珍的父亲叫什么?	1	贾珍|父亲	贾珍|父亲
太平天国运动。爆发185##1年定都?	主裁。爆发185##1年定都?	0	太平天国运动	主裁
草色摇看近却无是描写哪个季节的	瓜果飘香是描写什么季节景色	0	草色|季节	瓜果|季节
这是怎么?微信5.0版本的不能用qq号注册微信了吗?	不用手机号怎么用qq注册微信,5.0一下版本都打不开啊	1	微信|版本|册微	手机号|册微
求我的世界盗版服务器小游戏,躲猫猫什么的那种、pvp那种,还有,躲猫猫的那个的英文是啥,外国服务器	求我的世界盗版服务器小游戏,躲猫猫什么的那种、pvp那种,...	1	服务器|躲猫猫|有,躲	小游戏|躲猫猫
on,at,in在表示时间用法与区别	在时间中on和in和at的用法	1	在表示时	时间
把占城稻推广到江浙和淮河流域种植的是	把占城稻推广到江浙和淮河流域种植的是:	1	城稻|江浙|淮河流域	城稻|江浙|淮河流域
孩子恋爱了,父母怎么办?	火影恋爱问题攻略	0	孩子|父母	火影
20钢筋9米长一件多少根	钢筋重量计算公式	0	0钢	钢筋重量
滴蜡地理嘟嘟滴蜡地理度是什么歌	有一首歌曲是女生唱的,高潮部分是滴蜡滴蜡嘟啦类什么的。。	1	滴蜡地理嘟嘟滴蜡地理	女生|滴蜡滴蜡嘟啦
小美人鱼人物英文名翻译,谁都是谁介绍一下!!!剧本看不懂啊!!急需!!!!谢谢各位了	爱看书的朋友进来,真心请求帮助	1	小美人鱼|英文名|剧本	朋友
现在变了借钱的是老子要钱的是孙子以前关系再好现在一提钱就有很多理由没钱	借钱的理由	0	老子|关系|理由	
南京高铁站到河海大学清凉山校区怎么走?两个地方有多远,打的多少钱	南京高铁站到河海大学清凉山校区怎么走	1	河海大学清凉山校区	河海大学清凉山校区
杭州是哪个省?	杭州属于那个省	0	杭州	杭州
神界危机4.9风少爷	神界危机4.9怎么有人找出了风少爷拜托...	1	神界危机	神界|少爷拜托
请答出台湾省第一篇科幻小说的名称:	中国大陆第一篇被改编为科幻电影的科幻小说是	0	台湾省|篇科幻小说	大陆|科幻电影|科幻小说
招行信用卡青年金卡额度是多少,是一万以上吗?	招行青年信用卡取现额度是多少	1	信用卡|金卡额度	青年信用卡|额度
青云志第五集百度云链接,求告知	求青云志第五集百度云资源	1	青云|百度|链接	青云|百度
集装箱货柜20##hc的体积是多少?	求货柜体积和货物体积	0	货柜|#h	货柜体积
好运常在法语怎么说	求09年法语流行歌曲~	0	好运|法语	年法语流行歌
姚明是哪里人?	姚明的故乡在哪?	1	姚明	姚明|故乡
苹果ipad型号为mc##77##3##z##p尺寸多大	ipad有几个版本,几个系列,尺寸分别多大的,最好详细点,...	1	pa|##	有几|系列
十渡旅游攻略,有哪些需要注意的?	求十渡旅游攻略	0	十渡旅游	十渡旅游
欧洲最大的半岛在:	欧洲最大的半岛是哪个半岛?	0	欧洲|半岛	欧洲|半岛|半岛
花楹怎么死的	花楹结局什么意思啊	0	花楹	花楹结局
乒乓球比赛规则没改变以前每局的记分标准是:	乒乓球比赛规则没改变以前什么是每局的记分标准?	1	乒乓球比赛规则|记分	乒乓球比赛规则|记分
以铜仁到凯里经玉屏走高速有多少公里	眼睛近视做手术应该怎么弄	0	铜仁|凯里|玉屏	眼睛|做手术
汽车加装车内氛围灯脚底氛围灯影响电瓶吗?	电瓶车和小汽车撞了,该怎么处理	0	氛围|脚底氛围|电瓶	电瓶车|小汽车
2010欧冠决赛地在哪	欧冠全称是?	0	010欧	欧冠全称
谁有黄子韬的新歌yes##ter##day和one##he##art的mp3啊!!!急求!!!	免费取名字测试打分	0	黄子韬	免费|测试
[无头]给纪田正臣配音的是谁呢	柯楠中给新一配音的是谁?(中文)	0	纪田正|配音	柯楠|配音|中文
中国加入亚太经济合组织的时间是?	中国加入上错花轿嫁对郎合组织的时间是?	0	中国|亚太经济|时间	中国|花轿|时间
从西安到陇南有直达车吗?	甘肃陇南成县到西安多少公里	0	西安|陇南|直达车	甘肃陇南成县
狗有几种类型?	小狗有多少种类型的	1	类型	小狗|类型
京东一元夺宝是真的吗	京东高层联系方式	0	京东	京东高层
深圳一个月社保是多少元。。。	外地社保如何转入深圳	0	深圳|社保	外地社保
苏辛的代表作有?急急急!!!	苏轼的代表作有哪些	1	苏辛|代表作	苏轼|代表作
泫雅《a+》中《平稳》的音译歌词	求泫雅新歌《平稳》的中文音译。	1	泫雅|音译	泫雅|中文音译
青花瓷烟图片及价格查询	青花瓷香烟是哪个省出的	1	青花瓷|图片|价格	青花瓷香烟
请回答1988里第20集善宇和宝拉恋爱被发现时嗯歌曲是什么	请回答1988里第20集善宇和宝拉恋爱被发现时插曲(喔哦喔哦...	1	第2|集善|发现	第2|集善|被发
我做跳绳这个运动,不用跳绳,直接在那里跳。有用么	跳绳和跑步哪个好	0	跳绳|运动|跳绳	跳绳|跑步
关于白酒酒坛子封口问题。	请问专业的白酒酿造设备生产产家有哪些不是小型自酿的,中...	0	白酒酒坛子封口	白酒酿造|产家
临平78##2到下沙最早是几点	关于临平职高	0	临平|#2	临平
五峰毛尖产地	五峰毛尖在哪生产的	1	毛尖	毛尖|生产
金俊绵有钱还是吴亦凡有钱还是鹿晗有钱	关于exo-m中吴亦凡的小说,有多少发多少噢,我不方便在贴吧看...	0	金俊绵|吴亦凡|鹿晗	m中吴|凡的
2016年8月13号快乐大本营杜海涛唱的歌曲名是什么	2016年8月13号快乐大本营杜海涛唱的歌叫啥名	1	3号快|大本|海涛唱	3号快|大本营杜海
德牧脸上出了一小块癣咋办?	好多人都说废机油治癣我的德牧长癣了想试一试不知是真是假	1	脸上	废机油治癣
杨紫琼和甄子丹合作的电影有吗	山空和甄子丹合作的电影有吗	0	杨紫琼|甄子丹|电影	山空|甄子丹|电影
极品败类穿越记txt全集下载	极品穿越小说txt全集免费下载	1	极品败类	极品穿越小说
ipad死机了,无法退出,也无法关机,怎么办	ipad死机了怎么办,关机也关不了,又不能下电池	1	pa	pa
干咳无痰喉咙痒吃什么药都不好……	肺炎干咳	0	喉咙|药都	肺炎
银行承兑汇票盖章可不可以压线	银行承兑汇票的背书印章可以跨线吗	1	承兑汇票盖章	承兑汇票|背书|跨线
急,怎么在编辑邮件时加入可输数字的方框	在excel中数字怎么输入到方框□内	1	邮件|数字	ce|么输
神庙逃亡2如何吃更多的箱子	欲望神庙游戏下载	0	神庙	神庙游戏
高通骁龙s##nap##dragon##80##1跟高通ms##m##89##39哪个好	高通ms##m##89##39。高通骁龙801##ms##m##89##74##aa。都...	1	高通|##	高通|##
合肥有几个区	合肥市有哪几个区县	1	合肥	合肥市|哪几个
哪位词人登临怀远时写下“生子当如孙仲谋”的词句?	司马相如当的是什么官	0	怀远|孙仲谋|词句	司马相如
关于国防,民防,教育的征文	民防知识	0	民防|教育	民防
砥砺前行	砥砺前行是什么意思	1	砥砺前	砥砺前
2015年山东省成人高考录取分数是多少	2015年山师成人高考录取分数线是多少	1	15年山东省成人高考录	15年山师成|考录取
